title,agency,category,link
"""우리 집주인은 기업"" 기업 참여하는 20년 장기임대주택 나온다 [앵커리포트]",YTN,경제,https://v.daum.net/v/20240828191020426
간호사들 '간호법' 숙원 이뤘지만…의사들 강력 반발,연합뉴스TV,경제,https://v.daum.net/v/20240828191016424
금배추 막아라...추석 할인에 7백억 투입·전통시장 소득공제율 80%,YTN,경제,https://v.daum.net/v/20240828191010422
"한전 사장 ""전력망 지연시 용인 반도체클러스터 전력 공급 차질""",중앙일보,경제,https://v.daum.net/v/20240828190944408
보험사 실적잔치 끝… 장기리스크 관리 강화 개선안 도입,디지털타임스,경제,https://v.daum.net/v/20240828190729355
"6월 말 국내은행 부실채권 비율, 4년 만에 최대… BIS는 양호 수준",세계일보,경제,https://v.daum.net/v/20240828190728354
금배추 막아라...추석 할인에 7백억 투입·전통시장 소득공제율 80% [앵커리포트],YTN,경제,https://v.daum.net/v/20240828190710342
작년 20명 중 1명은 '혼외 출생아'…2017년부터 매년 늘어(종합),뉴스1,경제,https://v.daum.net/v/20240828190530308
내일 새벽 엔비디아 실적 체크포인트 5가지,한국경제,경제,https://v.daum.net/v/20240828190410284
"“年 1억 쓰는 고객만”…백화점, 초력셔리 VIP 전용 쇼퍼룸 열었다",매일경제,경제,https://v.daum.net/v/20240828190300246
지역재투자 최우수 은행에 농협·하나·아이엠·기업은행 선정,농민신문,경제,https://v.daum.net/v/20240828185945159
"장재훈 현대차 사장 ""전기차는 궁극적으로 가야할 길 맞아""(종합)",연합뉴스,경제,https://v.daum.net/v/20240828185838135
"금감원, 증권사 리테일 채권영업 실태 점검 대상 확대",이데일리,경제,https://v.daum.net/v/20240828185450032
배달앱 출혈경쟁 속 3위 '요기요' 첫 희망퇴직,아시아경제,경제,https://v.daum.net/v/20240828185346001
"기업이 세 놓는 ‘장기 임대주택’, 전세일변도 시장 ‘묘수’ 될까",국민일보,경제,https://v.daum.net/v/20240828185217962
"장재훈 사장 ""제네시스 하이브리드 2027년 출시""",뉴시스,경제,https://v.daum.net/v/20240828185132951
“집주인이 기업이라 든든하네”…20년 사는 임대주택 나온다,매일경제,경제,https://v.daum.net/v/20240828185100933
전세시대 `끝`… 20년 임대 대안 제시 尹,디지털타임스,경제,https://v.daum.net/v/20240828185024918
"우리금융, 보험사 2곳 산다… ‘종합금융’ 마지막 퍼즐 채울까",국민일보,경제,https://v.daum.net/v/20240828185010914
‘불법 공매도’ 과징금 소송서 금융위 패소…“검토후 항소 추진”,이데일리,경제,https://v.daum.net/v/20240828184451780
"현대차, 3년간 4조원 규모 자사주 매입·소각…'총주주환원율' 도입",머니투데이,경제,https://v.daum.net/v/20240828184409759
"한전 사장 “변전소 전자파는 괴담… 전력망 건설, 지연되면 안 돼”",조선비즈,경제,https://v.daum.net/v/20240828184355755
"버핏, BofA 주식 1.3조원어치 추가 매각",이데일리,경제,https://v.daum.net/v/20240828184351753
"바이오株, 수익률 효자로 다시 태어났다… 금리 인하 등 호재 반영중",국민일보,경제,https://v.daum.net/v/20240828184312740
"""10년간 120조 투입"" 현대차의 길 연다",파이낸셜뉴스,경제,https://v.daum.net/v/20240828183710620
전통시장 소득공제율 40 → 80%… 하반기 한시 상향,파이낸셜뉴스,경제,https://v.daum.net/v/20240828183702615
"금감원 “교통사고처리지원 특약보험, 피해자 중상해 아니면 지급되지 않을 수 있어”",세계일보,경제,https://v.daum.net/v/20240828183651611
